character,film,x,y,line_count,neg,neu,pos,compound
ACKBAR,EpisodeVI,213.07802,-53.18907,14,0.1950714285714286,0.7602857142857141,0.04457142857142856,-0.3034214285714286
ANAKIN,EpisodeVI,-72.1837,-312.81674,2,0.1155,0.8845000000000001,0.0,-0.0258
BEN,EpisodeVI,-126.48793,-184.40771,18,0.08105555555555555,0.7696666666666667,0.1493888888888889,0.19650555555555554
BIB,EpisodeVI,-422.46878,137.68306,6,0.15266666666666667,0.8473333333333333,0.0,-0.15533333333333332
BOUSHH,EpisodeVI,-386.80493,-5.1846614,7,0.04185714285714286,0.8708571428571429,0.08714285714285715,0.07268571428571427
COMMANDER,EpisodeVI,-56.793346,379.9384,7,0.12614285714285714,0.7025714285714285,0.17142857142857143,-0.05785714285714285
CONTROLLER,EpisodeVI,268.14365,18.671642,5,0.11480000000000001,0.8016,0.08360000000000001,-0.059199999999999996
EMPEROR,EpisodeVI,-6.6441154,-40.434944,39,0.10702564102564104,0.7158205128205127,0.17717948717948717,0.1022512820512821
GUARD,EpisodeVI,-297.478,-175.92073,2,0.17,0.8300000000000001,0.0,-0.3155
HAN,EpisodeVI,-251.65549,23.618578,124,0.052943548387096785,0.8123709677419356,0.13470161290322583,0.1099701612903226
JABBA,EpisodeVI,-57.22849,53.65766,20,0.08134999999999999,0.82875,0.08990000000000001,-0.0058600000000000015
JERJERROD,EpisodeVI,109.73088,-53.21276,7,0.14285714285714285,0.7735714285714286,0.08357142857142856,0.10818571428571429
LANDO,EpisodeVI,63.054188,57.81872,40,0.10870000000000002,0.7972249999999999,0.09407499999999999,-0.016250000000000004
LEIA,EpisodeVI,-154.434,99.86384,56,0.061875000000000006,0.8447142857142858,0.09344642857142857,0.06507678571428571
LUKE,EpisodeVI,-128.46951,-23.10172,112,0.06223214285714286,0.8010000000000002,0.13675,0.07556964285714288
LURE,EpisodeVI,-232.78172,232.70534,1,0.728,0.272,0.0,-0.7469
NAVIGATOR,EpisodeVI,142.25826,342.21432,1,0.0,1.0,0.0,0.0
NINEDENINE,EpisodeVI,-18.23345,171.23154,6,0.068,0.7261666666666667,0.20583333333333334,0.39398333333333335
OFFICER,EpisodeVI,318.461,-161.8441,1,0.0,1.0,0.0,0.0
OOLA,EpisodeVI,-501.20892,201.50175,1,0.0,1.0,0.0,0.0
OPERATOR,EpisodeVI,-239.03052,-338.67032,1,0.0,0.27,0.73,0.4019
PIETT,EpisodeVI,155.33115,-155.27585,8,0.013625,0.903625,0.08275,0.16397499999999998
PILOT,EpisodeVI,311.28122,225.04192,1,0.0,1.0,0.0,0.0
SCOUT,EpisodeVI,455.80234,-31.577381,1,0.435,0.565,0.0,-0.4724
STORMTROOPER,EpisodeVI,161.0941,-278.9172,6,0.0,0.7548333333333334,0.24516666666666667,0.05406666666666667
THREEPIO,EpisodeVI,-277.19598,105.924286,90,0.061544444444444464,0.7889333333333334,0.14948888888888898,0.12909555555555555
VADER,EpisodeVI,-181.2169,-110.05978,43,0.055046511627906976,0.7946976744186046,0.1502790697674419,0.08616046511627905
WEDGE,EpisodeVI,198.2232,174.73923,11,0.05527272727272727,0.8859090909090909,0.05881818181818182,-0.012636363636363633
YODA,EpisodeVI,-52.6335,-114.96648,13,0.1326923076923077,0.792153846153846,0.07507692307692307,-0.18644615384615384
ANNOUNCER,EpisodeV,-107.2719,-102.5638,3,0.0,1.0,0.0,0.0
BEN,EpisodeV,157.48628,87.02762,15,0.057866666666666663,0.8947999999999998,0.04733333333333333,-0.06182666666666666
CAPTAIN,EpisodeV,218.71254,30.05631,1,0.0,0.674,0.326,0.4404
CONTROLLER,EpisodeV,-61.09294,-106.67925,3,0.12933333333333333,0.8706666666666667,0.0,-0.22123333333333337
CREATURE,EpisodeV,62.31883,128.31013,21,0.03857142857142857,0.8039999999999998,0.15742857142857142,0.22307142857142853
DACK,EpisodeV,-69.84937,34.928658,4,0.11825,0.7985,0.08325,-0.17757499999999998
DERLIN,EpisodeV,-178.1568,121.39982,3,0.0,0.9106666666666667,0.08933333333333333,0.09806666666666668
EMPEROR,EpisodeV,-15.515411,97.8653,5,0.2152,0.562,0.22279999999999997,0.13746
HAN,EpisodeV,98.64971,69.186905,182,0.06535714285714286,0.773252747252747,0.1613956043956043,0.12759175824175822
HOBBIE,EpisodeV,3.2129993,-115.61626,1,0.512,0.488,0.0,-0.4939
JANSON,EpisodeV,-179.14838,79.991585,4,0.15,0.85,0.0,-0.032
LANDO,EpisodeV,32.152416,35.07805,61,0.06427868852459016,0.7944426229508197,0.14127868852459013,0.1323885245901639
LEIA,EpisodeV,56.96166,71.540825,114,0.09121929824561403,0.788675438596491,0.12011403508771933,0.012645614035087713
LIEUTENANT,EpisodeV,-29.497063,202.6709,2,0.0725,0.5625,0.365,0.05295
LUKE,EpisodeV,77.090324,27.178667,128,0.0504609375,0.8331328125,0.1164140625,0.058253125
NEEDA,EpisodeV,-64.66426,-30.950886,5,0.1326,0.7856,0.08180000000000001,-0.16529999999999997
OFFICER,EpisodeV,-43.00272,-178.73941,1,0.0,0.323,0.677,0.2714
OZZEL,EpisodeV,-20.697145,10.985916,5,0.029199999999999997,0.8030000000000002,0.1678,0.042599999999999985
PIETT,EpisodeV,-43.872623,160.80536,23,0.02282608695652174,0.7055652173913043,0.2716086956521739,0.18452608695652173
PILOT,EpisodeV,-166.21803,-18.969856,1,0.0,1.0,0.0,0.0
PILOTS,EpisodeV,136.54994,-30.360579,1,0.0,0.345,0.655,0.2263
RIEEKAN,EpisodeV,-30.086359,-58.979153,13,0.07230769230769231,0.8620000000000001,0.06569230769230769,-0.06665384615384616
THREEPIO,EpisodeV,119.41092,33.906147,92,0.08271739130434785,0.7782826086956524,0.13899999999999998,0.06284782608695653
VADER,EpisodeV,-17.916481,50.660923,56,0.08083928571428574,0.7416607142857143,0.1775178571428572,0.09696785714285713
VEERS,EpisodeV,-101.93892,-14.0236435,7,0.09785714285714286,0.6905714285714286,0.21157142857142855,0.16042857142857142
WEDGE,EpisodeV,39.74719,-21.70595,8,0.0,0.8639999999999999,0.136,0.14375
YODA,EpisodeV,122.66542,111.71672,36,0.0902222222222222,0.7716944444444445,0.13805555555555554,0.0998388888888889
ZEV,EpisodeV,-87.01272,88.78872,6,0.0,0.949,0.051,0.04933333333333333
BARTENDER,EpisodeIV,-38.410355,294.1712,3,0.299,0.6066666666666667,0.09433333333333332,-0.25120000000000003
BEN,EpisodeIV,-7.6738763,-1.6762289,82,0.07385365853658536,0.8328780487804877,0.0932560975609756,0.043292682926829286
BERU,EpisodeIV,165.83653,1.0690961,1,0.0,0.859,0.141,0.3182
BIGGS,EpisodeIV,13.419961,112.57336,34,0.017911764705882353,0.8961176470588236,0.08597058823529412,0.14505882352941174
CAMIE,EpisodeIV,171.2093,184.49635,2,0.0,0.812,0.188,0.1706
CAPTAIN,EpisodeIV,-3.1522949,-198.90878,1,0.295,0.705,0.0,-0.5574
CHIEF,EpisodeIV,-74.07754,-32.291218,2,0.0,0.601,0.39899999999999997,0.35055000000000003
COMMANDER,EpisodeIV,114.19469,-86.45376,3,0.06366666666666666,0.6583333333333333,0.27799999999999997,0.042899999999999994
DEAK,EpisodeIV,209.4372,-85.43086,1,0.0,0.605,0.395,0.2401
DODONNA,EpisodeIV,-106.271866,-221.52864,6,0.0775,0.8701666666666666,0.052166666666666674,-0.2816
FIXER,EpisodeIV,101.31659,147.08395,2,0.0855,0.9145,0.0,-0.3404
GREEDO,EpisodeIV,-52.32814,50.235443,6,0.11016666666666668,0.8711666666666665,0.018666666666666668,-0.16515
HAN,EpisodeIV,15.640997,54.120087,153,0.06769281045751635,0.8085424836601309,0.12375816993464046,0.07945228758169934
HUMAN,EpisodeIV,68.16857,241.16258,4,0.40275000000000005,0.5535,0.04375,-0.356375
JABBA,EpisodeIV,-119.976616,44.542847,6,0.073,0.8693333333333334,0.057499999999999996,-0.134
LEIA,EpisodeIV,50.603226,15.49148,57,0.06315789473684211,0.8180877192982455,0.11875438596491227,0.09356491228070175
LUKE,EpisodeIV,62.596004,76.833244,254,0.05569291338582676,0.8408346456692913,0.10346850393700793,0.047597637795275594
MAN,EpisodeIV,-184.67538,-269.37903,1,0.0,1.0,0.0,0.0
MOTTI,EpisodeIV,-180.43079,-127.678986,4,0.20025,0.7725,0.02725,-0.463675
OFFICER,EpisodeIV,-172.46935,-194.91515,11,0.040999999999999995,0.8162727272727271,0.14272727272727273,0.01745454545454545
OWEN,EpisodeIV,106.95231,44.969482,25,0.037040000000000003,0.8553999999999999,0.10756000000000002,-0.019868000000000004
PORKINS,EpisodeIV,-98.35145,202.59842,1,0.0,1.0,0.0,0.0
TAGGE,EpisodeIV,-107.81342,-126.36979,4,0.15475,0.7454999999999999,0.09975,-0.18495
TARKIN,EpisodeIV,23.949812,-48.356552,28,0.09853571428571427,0.661607142857143,0.23985714285714282,0.031192857142857144
TECHNICIAN,EpisodeIV,148.88123,-200.29677,1,0.0,1.0,0.0,0.0
THREEPIO,EpisodeIV,83.68039,-22.60299,119,0.09583193277310922,0.8189495798319333,0.08521848739495798,-0.00386302521008403
TROOPER,EpisodeIV,-68.888695,114.00756,19,0.06336842105263159,0.8879473684210526,0.048684210526315795,-0.02539473684210526
VADER,EpisodeIV,-77.312675,-166.08136,41,0.09280487804878049,0.8476341463414634,0.05963414634146341,-0.10896341463414633
VOICE,EpisodeIV,-81.05829,-281.34137,3,0.17933333333333334,0.8206666666666665,0.0,-0.1421
WEDGE,EpisodeIV,-20.015686,161.12271,14,0.1052142857142857,0.8779285714285715,0.016857142857142855,0.009057142857142859
WILLARD,EpisodeIV,26.552826,-112.5458,2,0.3285,0.5715,0.1,-0.5041
WINGMAN,EpisodeIV,-216.24944,11.515591,2,0.0,0.635,0.365,0.20095
WOMAN,EpisodeIV,195.31734,87.37533,1,0.0,1.0,0.0,0.0
